location_name,location,Week,tavg,pres,year,epiweek,week,enddate,pavg
Delaware,10,2010-01-23,3.0571428571428574,1024.0,2010,201003,3,2010-01-23,1015.4428571428572
Florida,12,2010-01-23,17.847619047619048,1014.4,2010,201003,3,2010-01-23,1014.6761904761904
Georgia,13,2010-01-23,10.442857142857145,1017.2666666666665,2010,201003,3,2010-01-23,1012.9095238095236
Hawaii,15,2010-01-23,22.776190476190475,1014.0,2010,201003,3,2010-01-23,1016.7476190476191
Idaho,16,2010-01-23,4.8238095238095235,1008.6,2010,201003,3,2010-01-23,998.3857142857144
Illinois,17,2010-01-23,-0.7285714285714285,1009.1,2010,201003,3,2010-01-23,1013.3476190476192
Indiana,18,2010-01-23,1.8809523809523812,1011.5666666666666,2010,201003,3,2010-01-23,1012.4333333333333
Iowa,19,2010-01-23,-1.1714285714285715,1001.3499999999999,2010,201003,3,2010-01-23,1010.6761904761905
Kansas,20,2010-01-23,4.047619047619048,997.5666666666666,2010,201003,3,2010-01-23,1007.2952380952381
Kentucky,21,2010-01-23,6.552380952380952,1011.7999999999998,2010,201003,3,2010-01-23,1010.9714285714286
Louisiana,22,2010-01-23,14.778571428571427,1004.85,2010,201003,3,2010-01-23,1011.3000000000001
Maine,23,2010-01-23,-3.6714285714285713,1023.6,2010,201003,3,2010-01-23,1016.6428571428571
Maryland,24,2010-01-23,3.780952380952381,1023.1666666666666,2010,201003,3,2010-01-23,1015.2619047619047
Massachusetts,25,2010-01-23,-0.5523809523809524,1023.6333333333333,2010,201003,3,2010-01-23,1015.8333333333333
Michigan,26,2010-01-23,-1.2095238095238092,1016.5,2010,201003,3,2010-01-23,1015.4047619047618
Minnesota,27,2010-01-23,-3.3666666666666667,1001.8333333333334,2010,201003,3,2010-01-23,1012.447619047619
Mississippi,28,2010-01-23,13.24761904761905,1006.7666666666668,2010,201003,3,2010-01-23,1010.5714285714284
Missouri,29,2010-01-23,4.8238095238095235,1001.1333333333332,2010,201003,3,2010-01-23,1008.5261904761907
Montana,30,2010-01-23,-0.5095238095238094,1008.4666666666667,2010,201003,3,2010-01-23,1001.6619047619048
Nebraska,31,2010-01-23,0.24285714285714294,996.2000000000002,2010,201003,3,2010-01-23,1008.1285714285714
Nevada,32,2010-01-23,5.509523809523809,1011.0,2010,201003,3,2010-01-23,1000.7428571428572
New Hampshire,33,2010-01-23,-3.152380952380952,1024.1000000000001,2010,201003,3,2010-01-23,1016.7238095238097
