weekendingdate,location,pct_hosp,date
2024-05-18T00:00:00.000,28,0.6132,2024-05-18
2024-05-18T00:00:00.000,30,0.6667,2024-05-18
2024-05-18T00:00:00.000,37,0.0296,2024-05-18
2024-05-18T00:00:00.000,38,0.3265,2024-05-18
2024-05-18T00:00:00.000,31,0.2959,2024-05-18
2024-05-18T00:00:00.000,33,0.2692,2024-05-18
2024-05-18T00:00:00.000,34,0.9529,2024-05-18
2024-05-18T00:00:00.000,35,0.9184,2024-05-18
2024-05-18T00:00:00.000,32,0.098,2024-05-18
2024-05-18T00:00:00.000,36,0.4976,2024-05-18
2024-05-18T00:00:00.000,39,0.3037,2024-05-18
2024-05-18T00:00:00.000,40,0.2199,2024-05-18
2024-05-18T00:00:00.000,41,0.4355,2024-05-18
2024-05-18T00:00:00.000,42,0.6927,2024-05-18
2024-05-18T00:00:00.000,72,0.0926,2024-05-18
2024-05-18T00:00:00.000,44,0.75,2024-05-18
2024-05-18T00:00:00.000,45,0.3067,2024-05-18
2024-05-18T00:00:00.000,46,0.4098,2024-05-18
2024-05-18T00:00:00.000,47,0.4286,2024-05-18
2024-05-18T00:00:00.000,48,0.0692,2024-05-18
2024-05-18T00:00:00.000,US,0.4027,2024-05-18
2024-05-18T00:00:00.000,49,0.5536,2024-05-18
2024-05-18T00:00:00.000,51,0.3564,2024-05-18
2024-05-18T00:00:00.000,78,1.0,2024-05-18
2024-05-18T00:00:00.000,50,0.2667,2024-05-18
2024-05-18T00:00:00.000,53,0.9691,2024-05-18
2024-05-18T00:00:00.000,55,0.6667,2024-05-18
2024-05-18T00:00:00.000,54,0.0169,2024-05-18
2024-05-18T00:00:00.000,56,0.8,2024-05-18
2024-05-25T00:00:00.000,02,0.5833,2024-05-25
2024-05-25T00:00:00.000,01,0.12,2024-05-25
2024-05-25T00:00:00.000,05,0.4022,2024-05-25
2024-05-25T00:00:00.000,60,1.0,2024-05-25
2024-05-25T00:00:00.000,04,0.404,2024-05-25
2024-05-25T00:00:00.000,06,0.5239,2024-05-25
2024-05-25T00:00:00.000,08,0.36,2024-05-25
2024-05-25T00:00:00.000,09,0.9063,2024-05-25
2024-05-25T00:00:00.000,11,0.7273,2024-05-25
2024-05-25T00:00:00.000,10,0.5455,2024-05-25
2024-05-25T00:00:00.000,12,0.3782,2024-05-25
